"Name","State","Notes","User","Tags","Created","Runtime","Sweep","activation","approx","batch_size","beta","data_root","dataset","depth","device","double","head","head_activation","likelihood","lr","lr_hyp","lr_hyp_min","lr_min","marglik_early_stopping","marglik_frequency","method","n_data","n_epochs","n_epochs_burnin","n_hypersteps","n_param_groups","n_params","optimizer","prior_prec_init","rep","seed","typeofrep","use_wandb","vi_posterior_mu_init","vi_posterior_rho_init","vi_prior_mu","width","epoch","hyperparams/prior_prec_layer1.bias","hyperparams/prior_prec_layer1.weight","hyperparams/prior_prec_layer2.bias","hyperparams/prior_prec_layer2.weight","hyperparams/prior_prec_layer3.bias","hyperparams/prior_prec_layer3.weight","hyperparams/prior_prec_out_layer.bias","hyperparams/prior_prec_out_layer.weight","params/layer1.bias","params/layer1.weight","params/layer2.bias","params/layer2.weight","params/layer3.bias","params/layer3.weight","params/out_layer.bias","params/out_layer.weight","prior_prec_opt","test/loglik","test/loglik_bayes","test/loglik_bayes_mc","test/loglik_bayes_mc_lse","test/loglik_bayes_mean","test/mse","train/loss","train/lr","train/marglik","train/nll","train/perf","valid/nll"
"wine-quality-red-marglik-24eb","finished","-","","marglik, wine-quality-red","2024-11-12T15:06:06.000Z","4477","","selu","full","256","0.5","data/","wine-quality-red","2","cpu","true","meanvar","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","50","marglik","1439","5000","100","50","6","6752","Adam","1","0","11","Flipout","true","0","-3","0","75","5000","0.6909531354904175","1.3879213333129885","0.1485193520784378","0.35453951358795166","","","0.1618901491165161","1.453046202659607","0.28984926544239775","0.09953068136290626","0.23470481958667372","0.0817298134687448","","","0.34038390582462447","0.12836791767012104","","-4.016083216290562","-1.1517301777085205","-2.2517209475791224","-1.1544141869418785","-1.4888013161593114","0.819760677239272","3.830654763807731","0.00001","4.081336722824888","3.718543212327655","105.9599755452148",""
"wine-quality-red-map-3d37","finished","-","","map, wine-quality-red","2024-11-12T14:52:41.000Z","799","","selu","full","256","0.5","data/","wine-quality-red","2","cpu","true","meanvar","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","50","map","1439","5000","5001","50","6","6752","Adam","1","0","11","Flipout","true","0","-3","0","75","5000","","","","","","","","","0.00004902255004852682","0.0006925410656710188","0.00018415660143476315","0.0001135641502012557","","","0.0054284125447500815","0.0047117546951762545","100","-1.0766768007723209","-1.075504535203741","-1.0747193630479424","-1.0753961741760822","-1.0754995442229318","0.7970388972500246","1.2224458976021468","0.00001","","1.1548532124545996","0.6152391634852328","1.2543888025509906"
"wine-quality-red-marglik-9323","finished","-","","marglik, wine-quality-red","2024-11-12T13:16:33.000Z","5761","","selu","full","256","0.5","data/","wine-quality-red","2","cpu","true","natural","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","50","marglik","1439","5000","100","50","6","6752","Adam","1","0","11","Flipout","true","0","-3","0","75","5000","21.64927864074707","7.326664924621582","43.41102981567383","10.76769733428955","","","64.1446304321289","0.14529679715633392","0.022642903397407668","0.07776431786696109","0.0011358757272734114","0.0072755051306924515","","","0.0000027289029250753658","2.5807581326710567","","-1.2578745989858882","-1.0290383550892748","-1.909082452671123","-1.059354688663213","-1.021955537238202","0.739867018196912","0.5779980722950485","0.00001","1.7840048826730464","0.22805614310942723","0.08606522908281662",""
"wine-quality-red-map-f0ff","finished","-","","map, wine-quality-red","2024-11-12T13:02:46.000Z","820","","selu","full","256","0.5","data/","wine-quality-red","2","cpu","true","natural","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","50","map","1439","5000","5001","50","6","6752","Adam","1","0","11","Flipout","true","0","-3","0","75","5000","","","","","","","","","0.0012653506505379223","0.0006483695425634713","0.002225039770518097","0.00012243859542329264","","","0.06682065829271042","0.006186881156650434","100","-1.0590511645077678","-1.058979353250265","-1.0587154551585578","-1.059633311292015","-1.058985500320431","0.7951810040094246","1.2617006536047175","0.00001","","1.1731964649154525","0.6263774175602632","1.2243983618705403"
"wine-quality-red-marglik-a2ca","finished","-","","marglik, wine-quality-red","2024-11-12T11:47:07.000Z","4532","","gelu","full","256","0.5","data/","wine-quality-red","2","cpu","true","meanvar","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","50","marglik","1439","5000","100","50","6","6752","Adam","1","0","11","Flipout","true","0","-3","0","75","5000","0.8785893321037292","1.9350327253341677","0.322155624628067","7.090428829193115","","","0.029770320281386375","0.08268880844116211","0.9385876442633336","0.3917074302315573","1.2035236944747862","0.02882810920187065","","","31.087086836355535","5.425201329390006","","-3.637413378101443","-1.1471476772385798","-2.851012185345008","-1.2529634395087053","-1.2906676783009563","0.8062154511157795","-3.219976226666811","0.00001","2.1943865958452555","-3.893230190739556","0.33596064871822573",""
"wine-quality-red-map-7257","finished","-","","map, wine-quality-red","2024-11-12T11:28:28.000Z","1113","","gelu","full","256","0.5","data/","wine-quality-red","2","cpu","true","meanvar","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","50","map","1439","5000","5001","50","6","6752","Adam","1","0","11","Flipout","true","0","-3","0","75","5000","","","","","","","","","0.0028484337372225712","0.0012497239567197606","0.0030648220200683546","0.00018596402028682167","","","0.013579227454095273","0.006852871344586585","100","-1.0931771988237693","-1.0918334807333503","-1.0908837981346864","-1.0918289820701217","-1.091797329880949","0.7903238775750409","1.2891640227223926","0.00001","","1.164922774496754","0.6047258174853468","1.2230767887686014"
"wine-quality-red-marglik-ea62","finished","-","","marglik, wine-quality-red","2024-11-12T10:12:41.000Z","4539","","gelu","full","256","0.5","data/","wine-quality-red","2","cpu","true","natural","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","50","marglik","1439","5000","100","50","6","6752","Adam","1","0","11","Flipout","true","0","-3","0","75","5000","0.7567034363746643","0.4401414692401886","0.6609874367713928","3.6011056900024414","","","0.05974053591489792","0.015803996473550797","0.6761596150486351","1.2629396191845008","0.2142926409633983","0.0416667053865204","","","1.0357742866759594","32.47307198445945","","-31.523120703951328","-0.871073588839173","-2.7124689598164338","-0.7603945545547913","-0.6721081272747943","0.7590934913964765","-0.8556193267911787","0.00001","1.6934994384283268","-1.3519621067677874","0.0002788159325459683",""
"wine-quality-red-map-f9e5","finished","-","","map, wine-quality-red","2024-11-12T09:54:06.000Z","1109","","gelu","full","256","0.5","data/","wine-quality-red","2","cpu","true","natural","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","50","map","1439","5000","5001","50","6","6752","Adam","1","0","11","Flipout","true","0","-3","0","75","5000","","","","","","","","","0.0041048131243178135","0.0010072619534340036","0.003955063485194588","0.00017701296197344054","","","0.16210186857860864","0.006951450318234367","100","-1.0931815201981956","-1.093551290868854","-1.093128533556555","-1.0939523755491196","-1.0933746697648434","0.8282129134354556","1.3409766631426183","0.00001","","1.2090062046388907","0.6397218309952148","1.2310201390373767"
"wine-quality-red-marglik-1e1d","finished","-","","marglik, wine-quality-red","2024-11-12T09:52:12.000Z","108","","silu","full","256","0.5","data/","wine-quality-red","1","cpu","true","meanvar","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","50","marglik","1439","5000","100","50","4","1052","Adam","1","0","11","Flipout","true","0","-3","0","75","5000","0.7058088183403015","2.4604601860046387","","","","","3.636138677597046","0.2882957458496094","0.618783030621832","0.1719954955799577","","","","","0.14805968785507673","1.490368140651834","","-61.56789428993636","-1.0832903853068696","-1.4397109692641423","-1.0714972149765851","-1.0965136878979729","0.8421614118973924","0.46939478444244714","0.00001","1.451117056938955","0.31393989311777","0.5229177178513263",""
"wine-quality-red-map-edad","finished","-","","map, wine-quality-red","2024-11-12T09:43:35.000Z","511","","silu","full","256","0.5","data/","wine-quality-red","1","cpu","true","meanvar","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","50","map","1439","5000","5001","50","4","1052","Adam","1","0","11","Flipout","true","0","-3","0","75","5000","","","","","","","","","0.0014742629271333756","0.001414766256691778","","","","","0.01456581103885236","0.006911929504777115","100","-1.0685354714656383","-1.0685793165845334","-1.0675380883231285","-1.067467419407141","-1.0678477561751525","0.7849124126961442","1.2319982813260253","0.00001","","1.1505640184188408","0.6057408173915594","1.2160162517509845"
"wine-quality-red-marglik-ced2","finished","-","","marglik, wine-quality-red","2024-11-12T09:41:33.000Z","116","","silu","full","256","0.5","data/","wine-quality-red","1","cpu","true","natural","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","50","marglik","1439","5000","100","50","4","1052","Adam","1","0","11","Flipout","true","0","-3","0","75","5000","2.7451813220977783","3.097498893737793","","","","","35.74805450439453","0.11465266346931458","0.1381526680223746","0.12279619226569692","","","","","0.00021732726347616923","3.3927442506508507","","-1.100022938866731","-1.06654124876585","-1.444341005170836","-1.0887246186668142","-1.0672942367616245","0.7866506108767563","0.8631509633618442","0.00001","1.415954247925482","0.7239540984514079","0.28408402727541365",""
"wine-quality-red-map-bdf9","finished","-","","map, wine-quality-red","2024-11-12T09:32:27.000Z","540","","silu","full","256","0.5","data/","wine-quality-red","1","cpu","true","natural","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","50","map","1439","5000","5001","50","4","1052","Adam","1","0","11","Flipout","true","0","-3","0","75","5000","","","","","","","","","0.0033486507861709303","0.0012530907043599906","","","","","0.21214943226048755","0.007201913646705166","100","-1.0710581451587935","-1.0717102247261514","-1.0717503506041055","-1.0717403822916738","-1.0714379250961028","0.8068456673260535","1.2885461353782632","0.00001","","1.1916197993424011","0.6221456364857959","1.2241319673320956"
"wine-quality-red-marglik-621e","finished","-","","marglik, wine-quality-red","2024-11-12T09:30:32.000Z","109","","selu","full","256","0.5","data/","wine-quality-red","1","cpu","true","meanvar","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","50","marglik","1439","5000","100","50","4","1052","Adam","1","0","11","Flipout","true","0","-3","0","75","5000","37.49571990966797","24.906774520874023","","","","","26.515621185302734","0.3302258849143982","0.01185081874245097","0.017911036370635906","","","","","0.0016958247921434952","1.517773370086357","","-1.9851072501463696","-1.0583217534476308","-1.861041677004552","-1.0775492620225855","-1.09099985954363","0.8353626039663666","0.8167751793757532","0.00001","1.4003676682283424","0.6511642655555991","0.4291367624282422",""
"wine-quality-red-map-2ed8","finished","-","","map, wine-quality-red","2024-11-12T09:22:09.000Z","497","","selu","full","256","0.5","data/","wine-quality-red","1","cpu","true","meanvar","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","50","map","1439","5000","5001","50","4","1052","Adam","1","0","11","Flipout","true","0","-3","0","75","5000","","","","","","","","","0.00013100582501052163","0.0006720624977540058","","","","","0.00680488754495383","0.0041151041414799775","100","-1.077195130977897","-1.0767334806441515","-1.0789289885192892","-1.075768446473813","-1.0765879145834691","0.8045825913645747","1.1958532684528531","0.00001","","1.1543256136611306","0.6239071774216061","1.2542798981174357"
"wine-quality-red-marglik-fba6","finished","-","","marglik, wine-quality-red","2024-11-12T09:20:08.000Z","115","","selu","full","256","0.5","data/","wine-quality-red","1","cpu","true","natural","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","50","marglik","1439","5000","100","50","4","1052","Adam","1","0","11","Flipout","true","0","-3","0","75","5000","93.8344955444336","67.36791229248047","","","","","1.213636040687561","0.10045301169157028","0.00405368573112605","0.005545782695393189","","","","","0.13171855392967147","4.009557456426372","","-1.1060358308198155","-1.0359059698615858","-1.548161638178741","-1.0639208817948196","-1.0270463808848902","0.7761027766595179","1.012684162195128","0.00001","1.3500868275314448","0.8746225920704284","0.3586511299619659",""
"wine-quality-red-map-743b","finished","-","","map, wine-quality-red","2024-11-12T09:10:57.000Z","545","","selu","full","256","0.5","data/","wine-quality-red","1","cpu","true","natural","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","50","map","1439","5000","5001","50","4","1052","Adam","1","0","11","Flipout","true","0","-3","0","75","5000","","","","","","","","","0.0033518725927804043","0.0006542691022603009","","","","","0.12450076178634915","0.005785533429547646","100","-1.0547091846057026","-1.054921000598717","-1.0559215759575915","-1.055443525726519","-1.0550393828132758","0.789454153876249","1.240308433416495","0.00001","","1.174011997016536","0.6259432666626248","1.2250616707469515"
"wine-quality-red-marglik-14b9","finished","-","","marglik, wine-quality-red","2024-11-12T09:09:02.000Z","108","","gelu","full","256","0.5","data/","wine-quality-red","1","cpu","true","meanvar","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","50","marglik","1439","5000","100","50","4","1052","Adam","1","0","11","Flipout","true","0","-3","0","75","5000","1.2951374053955078","3.7223799228668217","","","","","2.5843698978424072","0.2945115566253662","0.4358396322908212","0.1467261305629915","","","","","0.2634877268803688","1.9355057669420035","","-19.2936472143381","-1.0936583079338025","-1.826450779588742","-1.1132460166108378","-1.2093761299950838","0.838354502445527","0.2746607956306596","0.00001","1.544182089050501","0.07319694876599546","0.4703403075014738",""
