"Name","State","Notes","User","Tags","Created","Runtime","Sweep","activation","approx","batch_size","beta","data_root","dataset","depth","device","double","head","head_activation","likelihood","lr","lr_hyp","lr_hyp_min","lr_min","marglik_early_stopping","marglik_frequency","method","n_data","n_epochs","n_epochs_burnin","n_hypersteps","n_param_groups","n_params","optimizer","prior_prec_init","rep","seed","typeofrep","use_wandb","vi_posterior_mu_init","vi_posterior_rho_init","vi_prior_mu","width","epoch","hyperparams/prior_prec_layer1.bias","hyperparams/prior_prec_layer1.weight","hyperparams/prior_prec_out_layer.bias","hyperparams/prior_prec_out_layer.weight","hyperparams/sigma_noise","params/layer1.bias","params/layer1.mu_bias","params/layer1.mu_weight","params/layer1.rho_bias","params/layer1.rho_weight","params/layer1.weight","params/out_layer.bias","params/out_layer.mu_bias","params/out_layer.mu_weight","params/out_layer.rho_bias","params/out_layer.rho_weight","params/out_layer.weight","params/out_layer_mu.bias","params/out_layer_mu.weight","params/out_layer_var.bias","params/out_layer_var.weight","params/z_layer.lin_layer.bias","params/z_layer.lin_layer.weight","prior_prec_opt","test/loglik","test/loglik_bayes","test/loglik_bayes_mc","test/loglik_bayes_mc_lse","test/loglik_bayes_mean","test/mse","train/loss","train/lr","train/marglik","train/nll","train/perf","valid/nll","valid/perf"
"kin8nm-map-6f7b","finished","-","","kin8nm, map","2024-11-08T09:24:02.000Z","2241","","gelu","full","256","0.5","data/","kin8nm","1","cuda","true","natural","softplus","homoscedastic","0.01","0.01","0.001","0.00001","true","50","map","7372","5000","5001","50","4","501","Adam","1","0","3","Flipout","true","0","-3","0","50","5000","","","","","0.2260559647588767","1.720830735453737","","","","","0.22169903652049305","1.3153606428611708","","","","","0.6595385283303239","","","","","","","0.1","1.3323902979590436","1.3414513960454062","","","","0.05847432900695355","0.05391338364831332","0.00001","","0.05107814988488601","0.05111253329854421","0.9495627862030404",""
"energy-marglik-7f00","finished","-","","energy, marglik","2024-11-08T09:22:34.000Z","81","","gelu","full","256","0.5","data/","energy","1","cuda","true","meanvar","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","50","marglik","691","5000","100","50","4","552","Adam","1","0","3","Flipout","true","0","-3","0","50","5000","1.0884345769882202","2.5886197090148926","0.25831398367881775","1.4862806797027588","","0.4914830468836635","","","","","0.14727685877858082","3.3094518669616555","","","","","0.30005490379740424","","","","","","","","-0.9960175464414228","-2.0183486138405433","-1.1245414463118537","-0.5846889962560426","-0.6116485103382756","0.002708146552811091","-2.2526451587806635","0.00001","-1.27720183597093","-2.4158518481475375","0.001579387873029519","",""
"energy-map-9ea0","finished","-","","energy, map","2024-11-08T09:15:37.000Z","411","","gelu","full","256","0.5","data/","energy","1","cuda","true","meanvar","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","50","map","691","5000","5001","50","4","552","Adam","1","0","3","Flipout","true","0","-3","0","50","5000","","","","","","0.7021994773082185","","","","","0.21572444393285548","0.7511659827247956","","","","","0.7809790848580187","","","","","","","0.1","-7.094945540816135","-2.482686319463404","-2.6538714704859037","-0.7075816210593872","-0.6274006334168032","0.0023725477606558756","-2.56258316327634","0.00001","","-2.5771272886295766","0.0012482154456142838","-1.9877853559657028",""
"energy-marglik-97fb","finished","-","","energy, marglik","2024-11-08T09:14:07.000Z","83","","gelu","full","256","0.5","data/","energy","1","cuda","true","natural","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","50","marglik","691","5000","100","50","4","552","Adam","1","0","3","Flipout","true","0","-3","0","50","5000","0.06981763988733292","0.07714411616325378","0.006804576143622398","0.009864963591098784","","7.107819747676826","","","","","5.380263059460443","1.8757854825220073","","","","","45.01058762928925","","","","","","","","-0.6423601220196309","-1.1801477817102688","-0.7232538486703514","-0.7161546719426231","-0.7150333344816382","0.002048748773371159","-1.7967967108372802","0.00001","-1.0733644010140666","-1.9670311584973192","0.0008241155020079338","",""
"energy-map-f6c1","finished","-","","energy, map","2024-11-08T09:06:59.000Z","422","","gelu","full","256","0.5","data/","energy","1","cuda","true","natural","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","50","map","691","5000","5001","50","4","552","Adam","1","0","3","Flipout","true","0","-3","0","50","5000","","","","","","12.548709142511996","","","","","13.101861779760034","0.8369880781893437","","","","","38.600425412388184","","","","","","","0.01","-0.7737323909810659","-1.255774173158604","-0.7656659550398006","-0.7556700362347004","-0.7546826890081337","0.002729648318935616","-1.9531639847946616","0.00001","","-2.0235684354661014","0.0008938624453020086","-1.774447274015048",""
"energy-vi-a173","failed","-","","energy, vi","2024-11-08T09:04:56.000Z","117","","gelu","full","256","0","data/","energy","1","cuda","true","gaussian","softplus","heteroscedastic","0.001","0.01","0.001","0.001","true","50","vi","691","1000","100","50","","","Adam","1","0","3","Flipout","true","0","-3","0","50","1000","","","","","","","0.11347515633633463","0.04026242016947197","12.82506107440962","13.329485759374297","","","0.12069043233983438","0.1578974131296738","16.143038597018425","14.056537063071197","","","","","","","","0.1","","","","","","","-0.592501329612342","0.001","","-2.0166162843416475","0.058509085062659005","-0.8042788529255712","0.051359041193687234"
"energy-mcdropout-6280","finished","-","","energy, mcdropout","2024-11-08T09:03:33.000Z","76","","gelu","full","256","0","data/","energy","1","cuda","true","gaussian","softplus","heteroscedastic","0.001","0.01","0.001","0.001","true","50","mcdropout","691","1000","100","50","","","Adam","1","0","3","Flipout","true","0","-3","0","50","1000","","","","","","0.17700244276509516","","","","","0.07245341010251535","0.019571134866356112","","","","","0.07242416350076473","","","","","","","0.1","-1.63478511695558","","","","","0.05468182609433268","-0.7592632629844229","0.001","","-2.277802032173702","0.05557163493778385","-0.8842534916427849","0.050411571760498264"
"energy-betanll-42c9","finished","-","","betanll, energy","2024-11-08T08:57:19.000Z","368","","gelu","full","256","1","data/","energy","1","cuda","true","gaussian","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","50","betanll","691","5000","100","50","","","Adam","1","0","3","Flipout","true","0","-3","0","50","5000","","","","","","0.11922975405647544","","","","","0.04576787612107571","0.5382495667447379","","","","","0.1318546631262457","","","","","","","0.1","-1.0874712608255626","","","","","0.003477629015520588","-0.0019440939626727985","0.01","","-5.929127230078927","0.001135266344332206","-1.5860885743917146","0.0019107903959810196"
"energy-betanll-aee8","finished","-","","betanll, energy","2024-11-08T08:51:07.000Z","366","","gelu","full","256","0.5","data/","energy","1","cuda","true","gaussian","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","50","betanll","691","5000","100","50","","","Adam","1","0","3","Flipout","true","0","-3","0","50","5000","","","","","","0.2998271349614063","","","","","0.14266108511213954","1.3164725606047765","","","","","0.1766008688259496","","","","","","","0.1","-1.0785120291443528","","","","","0.002456676617122625","-0.052843347353876496","0.01","","-6.6171284042169605","0.001152818281437404","-2.084673918852051","0.0022732673757097934"
"energy-betanll-e237","finished","-","","betanll, energy","2024-11-08T08:44:56.000Z","365","","gelu","full","256","0","data/","energy","1","cuda","true","gaussian","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","50","betanll","691","5000","100","50","","","Adam","1","0","3","Flipout","true","0","-3","0","50","5000","","","","","","2.331750888978219","","","","","0.32733932682441264","3.985647619346336","","","","","1.2833327685247808","","","","","","","0.001","-1.0969441193268528","","","","","0.002394957703623191","-2.2267843834025034","0.01","","-6.680446757949955","0.001398199722170251","-1.9205934556872617","0.001661106993752816"
"energy-faithful-8107","finished","-","","energy, faithful","2024-11-08T08:37:40.000Z","430","","gelu","full","256","0.5","data/","energy","1","cuda","true","gaussian","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","50","faithful","691","5000","100","50","","","Adam","1","0","3","Flipout","true","0","-3","0","50","5000","","","","","","","","","","","","","","","","","","0.023692810527493127","0.005573675887449534","1.871375938301254","6.283943040121815","0.011980544472854423","0.02374203712308486","0.001","-2.2397104872569136","","","","","0.08024605543050728","-0.1035191958327224","0.01","","-0.4275653780221704","0.0825199832979954","-0.03056584631033303","0.09870020100986042"
"energy-marglik-d26c","finished","-","","energy, marglik","2024-11-08T08:36:34.000Z","60","","gelu","full","256","0.5","data/","energy","1","cuda","true","natural","softplus","homoscedastic","0.01","0.01","0.001","0.00001","true","50","marglik","691","5000","100","50","4","501","Adam","1","0","3","Flipout","true","0","-3","0","50","5000","1.685943603515625","3.2503674030303955","36.1130256652832","2.2465481758117676","0.03711007535457611","0.1963811582275197","","","","","0.07954423820135294","0.0022339462708392834","","","","","0.13938502837958097","","","","","","","","-0.6982988073882533","-0.6609536116801699","","","","0.002130152942502541","0.0013431487993026774","0.00001","-1.3270291882895564","0.0010726788264478438","0.0011067526709521414","",""
"energy-map-159a","finished","-","","energy, map","2024-11-08T08:31:53.000Z","275","","gelu","full","256","0.5","data/","energy","1","cuda","true","natural","softplus","homoscedastic","0.01","0.01","0.001","0.00001","true","50","map","691","5000","5001","50","4","501","Adam","1","0","3","Flipout","true","0","-3","0","50","5000","","","","","0.03335991315101026","0.09670819498358232","","","","","0.08323582892291803","0.0015349910644988998","","","","","0.15562536295196192","","","","","","","0.01","-1.2492528151588258","-1.2634680187331433","","","","0.003151983974470788","0.0017377450906982024","0.00001","","0.001073308883408671","0.0011129636882973937","0.9194417426049364",""
"concrete-marglik-6cd7","finished","-","","concrete, marglik","2024-11-08T08:30:13.000Z","95","","gelu","full","256","0.5","data/","concrete","1","cuda","true","meanvar","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","50","marglik","927","5000","100","50","4","552","Adam","1","0","3","Flipout","true","0","-3","0","50","5000","1.848979115486145","2.5007357597351074","13.144852638244627","0.985759735107422","","0.3789314210428077","","","","","0.2688050399132427","0.019452938213321214","","","","","0.667135740227465","","","","","","","","-3.3518479434525164","-3.1872934318791346","-3.3841529640347385","-2.9639366581761437","-3.010992790799763","0.0938729576552739","-0.5458554657066367","0.00001","0.5869340059732722","-0.7455357763708081","0.056146050702818175","",""
"concrete-map-f57e","finished","-","","concrete, map","2024-11-08T08:21:06.000Z","541","","gelu","full","256","0.5","data/","concrete","1","cuda","true","meanvar","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","50","map","927","5000","5001","50","4","552","Adam","1","0","3","Flipout","true","0","-3","0","50","5000","","","","","","0.08404981440814512","","","","","0.08213850344528761","0.22702159471555727","","","","","0.18549623404327","","","","","","","10","-3.4149500509432436","-3.105342613436935","-3.036036760946993","-3.0200955380890195","-3.083165520554928","0.09143736029060848","0.05137855057949165","0.00001","","-0.2510030411174038","0.06289826339161383","0.12497952636839592",""
"concrete-marglik-090e","finished","-","","concrete, marglik","2024-11-08T08:19:22.000Z","98","","gelu","full","256","0.5","data/","concrete","1","cuda","true","natural","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","50","marglik","927","5000","100","50","4","552","Adam","1","0","3","Flipout","true","0","-3","0","50","5000","0.8370543122291565","0.871703565120697","0.05642944201827049","0.030411245301365852","","0.8291169239866645","","","","","0.7513139429051111","1.4783614155811184","","","","","22.15187113766774","","","","","","","","-3.0541123645541663","-3.048273674505602","-3.1430878839826635","-3.01918829328116","-3.0173428024213655","0.08629775530544057","-0.34832632098025074","0.00001","0.4550509983614736","-0.5447694613673527","0.021137574199988924","",""
"concrete-map-458b","finished","-","","concrete, map","2024-11-08T08:10:01.000Z","555","","gelu","full","256","0.5","data/","concrete","1","cuda","true","natural","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","50","map","927","5000","5001","50","4","552","Adam","1","0","3","Flipout","true","0","-3","0","50","5000","","","","","","0.7489363571207243","","","","","0.6557217130740122","0.24533327137882888","","","","","2.2758465991067447","","","","","","","1","-3.039283778716882","-3.010150821926631","-3.0310647921901066","-2.969467234711057","-2.9754874699012452","0.08504197051436663","0.030538697646083884","0.00001","","-0.2541489021788088","0.03332597907807726","0.09974976523853324",""
"concrete-vi-33f6","failed","-","","concrete, vi","2024-11-08T08:07:25.000Z","149","","gelu","full","256","0","data/","concrete","1","cuda","true","gaussian","softplus","heteroscedastic","0.001","0.01","0.001","0.001","true","50","vi","927","1000","100","50","","","Adam","1","0","3","Flipout","true","0","-3","0","50","1000","","","","","","","0.14801934953607954","0.10456564115624406","13.501570043108426","13.82148578154498","","","0.16998727529349017","0.15205159177578373","16.1552819718287","14.402634743897943","","","","","","","","0.1","","","","","","","0.16098052694439854","0.001","","0.4059757645194163","0.11252513535310414","0.19055282413780147","0.16958895875246097"
"concrete-mcdropout-d2e7","finished","-","","concrete, mcdropout","2024-11-08T08:05:38.000Z","100","","gelu","full","256","0","data/","concrete","1","cuda","true","gaussian","softplus","heteroscedastic","0.001","0.01","0.001","0.001","true","50","mcdropout","927","1000","100","50","","","Adam","1","0","3","Flipout","true","0","-3","0","50","1000","","","","","","0.16104441537398778","","","","","0.1000300047126289","0.10500213451227652","","","","","0.1169343766763416","","","","","","","0.01","-3.0874047601752017","","","","","0.13550097651400467","0.13129131566187296","0.001","","0.5251477224896488","0.11382829423837554","0.2077374163582363","0.16985619435275873"
"concrete-betanll-6153","finished","-","","betanll, concrete","2024-11-08T07:57:37.000Z","475","","gelu","full","256","1","data/","concrete","1","cuda","true","gaussian","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","50","betanll","927","5000","100","50","","","Adam","1","0","3","Flipout","true","0","-3","0","50","5000","","","","","","0.08451610577748829","","","","","0.06394504340034196","0.3380052253910886","","","","","0.14215163176353107","","","","","","","1","-3.231137227201762","","","","","0.09396800084626718","-0.008097873928582121","0.01","","-2.7368635011824973","0.017563730594886445","0.27153815989304114","0.1255096914728414"
"concrete-betanll-0c52","finished","-","","betanll, concrete","2024-11-08T07:49:36.000Z","474","","gelu","full","256","0.5","data/","concrete","1","cuda","true","gaussian","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","50","betanll","927","5000","100","50","","","Adam","1","0","3","Flipout","true","0","-3","0","50","5000","","","","","","0.1714642587325279","","","","","0.17464893120742062","0.21996050374767295","","","","","0.2481879793765108","","","","","","","1","-3.925301168624198","","","","","0.09434551010117764","-0.07622004342271675","0.01","","-3.826261215159689","0.015490061129530604","0.14855155113217877","0.1108408539079119"
"concrete-betanll-728b","finished","-","","betanll, concrete","2024-11-08T07:41:34.000Z","476","","gelu","full","256","0","data/","concrete","1","cuda","true","gaussian","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","50","betanll","927","5000","100","50","","","Adam","1","0","3","Flipout","true","0","-3","0","50","5000","","","","","","0.08697834595421462","","","","","0.08384642572315204","0.5084557818164015","","","","","0.15483522166684302","","","","","","","10","-3.3442242059981395","","","","","0.09298281067206766","-0.7919042018069293","0.01","","-3.1677711559296418","0.04588055456636249","0.11553070838084956","0.11235958876292518"
"concrete-faithful-ce94","finished","-","","concrete, faithful","2024-11-08T07:32:08.000Z","560","","gelu","full","256","0.5","data/","concrete","1","cuda","true","gaussian","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","50","faithful","927","5000","100","50","","","Adam","1","0","3","Flipout","true","0","-3","0","50","5000","","","","","","","","","","","","","","","","","","0.004903945662012037","0.004796236022714602","0.7332753076214183","0.2088383071889584","0.004674560043077103","0.028553521281578273","0.001","-3.771818867209773","","","","","0.44967127036398274","1.064704716978719","0.01","","3.500593131620008","0.3835684719363493","0.8984877006200952","0.41025905883147823"
"concrete-marglik-2a4a","finished","-","","concrete, marglik","2024-11-08T07:30:52.000Z","70","","gelu","full","256","0.5","data/","concrete","1","cuda","true","natural","softplus","homoscedastic","0.01","0.01","0.001","0.00001","true","50","marglik","927","5000","100","50","4","501","Adam","1","0","3","Flipout","true","0","-3","0","50","5000","2.291334629058838","3.7076306343078618","4.437868118286133","0.3117727041244507","0.2039932012557983","0.22521846044513288","","","","","0.1327203796129898","0.03295051431637514","","","","","1.565265143163646","","","","","","","","-3.072601821390544","-3.0274077961392045","","","","0.09609219963270564","0.04122668318450451","0.00001","0.503450842929151","0.03013057551668213","0.03051908691198052","",""
"concrete-map-bffe","finished","-","","concrete, map","2024-11-08T07:24:38.000Z","368","","gelu","full","256","0.5","data/","concrete","1","cuda","true","natural","softplus","homoscedastic","0.01","0.01","0.001","0.00001","true","50","map","927","5000","5001","50","4","501","Adam","1","0","3","Flipout","true","0","-3","0","50","5000","","","","","0.15123455630946883","0.27068016346778423","","","","","0.2504265993992163","0.017199689667239365","","","","","0.6808772767373887","","","","","","","0.1","-3.472135328733971","-2.9480424977306754","","","","0.07463951351439407","0.03831166960299015","0.00001","","0.022371465217648497","0.02287327550533115","0.9632213237676014",""
"boston-housing-marglik-fe01","finished","-","","boston-housing, marglik","2024-11-08T07:22:58.000Z","94","","gelu","full","256","0.5","data/","boston-housing","1","cuda","true","meanvar","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","50","marglik","455","5000","100","50","4","802","Adam","1","0","3","Flipout","true","0","-3","0","50","5000","3.929476499557495","6.25031852722168","0.9621341228485109","0.4688376486301422","","0.0983779974645239","","","","","0.06045107644995462","0.6209283531529496","","","","","0.9354978700993192","","","","","","","","-2.5509933418538977","-2.3730577234230315","-3.7908437444794343","-2.2375461704122372","-2.1428128732210596","0.06645346603518262","-0.7766967679901735","0.00001","1.084066086921936","-1.1173611429406174","0.09561868705023166","",""
"boston-housing-map-1110","finished","-","","boston-housing, map","2024-11-08T07:18:07.000Z","285","","gelu","full","256","0.5","data/","boston-housing","1","cuda","true","meanvar","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","50","map","455","5000","5001","50","4","802","Adam","1","0","3","Flipout","true","0","-3","0","50","5000","","","","","","0.0071732909606692765","","","","","0.0027704392435325847","0.2374868904873386","","","","","0.018816899117514677","","","","","","","100","-2.5186622819782873","-2.5575825958555756","-2.5482802585006845","-2.535322751711412","-2.5303093557385923","0.1027471620675744","0.9285516494076582","0.00001","","0.4322754743224672","0.1820238233781798","0.35356626802048735",""
